"filename", "language", "JavaScript React", "comment", "blank", "total"
"c:\Users\danil\Desktop\webApp\src\components\webApp\ConnectWallet.jsx", "JavaScript React", -3, 0, 0, -3
"c:\Users\danil\Desktop\webApp\src\components\webApp\Error.jsx", "JavaScript React", -2, 0, 0, -2
"c:\Users\danil\Desktop\webApp\src\components\webApp\Header.jsx", "JavaScript React", -2, 0, 0, -2
"c:\Users\danil\Desktop\webApp\src\components\webApp\Log.jsx", "JavaScript React", -10, 0, 0, -10
"c:\Users\danil\Desktop\webApp\src\components\webApp\NoWalletDetected.jsx", "JavaScript React", -5, 0, 0, -5
"c:\Users\danil\Desktop\webApp\src\components\webApp\OrderPage.jsx", "JavaScript React", -12, 0, -1, -13
"c:\Users\danil\Desktop\webApp\src\components\webApp\Orders.jsx", "JavaScript React", -3, 0, 0, -3
"c:\Users\danil\Desktop\webApp\src\components\webApp\RegisterSeller.jsx", "JavaScript React", -2, 0, 0, -2
"c:\Users\danil\Desktop\webApp\src\components\webApp\SwitchNetwork.jsx", "JavaScript React", -2, 0, 0, -2
"Total", "-", -41, 0, -1, -42
